Data,real,previsto_svr
2026-02-15,3182,5755.759509837368
2026-02-16,7101,7939.658123865276
2026-02-17,6479,7304.214628469692
2026-02-18,27554,33081.0200170036
2026-02-19,38385,33484.995600726994
2026-02-20,35121,32502.883524879504
2026-02-21,6327,6333.71089167245
2026-02-22,5643,5242.934401585309
2026-02-23,42183,38092.11472044706
2026-02-24,39153,40874.095905402035
2026-02-25,38658,41276.00706807981
2026-02-26,37294,39182.644114550174
2026-02-27,32725,35454.616982066625
2026-02-28,5253,5633.003709852757
2026-03-01,5080,5020.903055495935
2026-03-02,44196,44261.86583053027
2026-03-03,42288,44974.3610541575
2026-03-04,39936,42540.581591644004
2026-03-05,41355,39055.84041397594
2026-03-06,33470,36149.99203082138
2026-03-07,5353,5544.525887503321
2026-03-08,5146,5134.436694720014
2026-03-09,42451,45098.87131838563
2026-03-10,42083,45287.26360647558
2026-03-11,41770,42940.55218312012
2026-03-12,40791,39937.50069681712
2026-03-13,34239,36200.75579543428
2026-03-14,5780,5606.967504453689
2026-03-15,5293,5187.162593611236
2026-03-16,44149,45232.17798160817
2026-03-17,42265,45713.80025742472
2026-03-18,43372,42902.51777482485
2026-03-19,38007,40096.70899638503
2026-03-20,27365,36553.233167489394
2026-03-21,6839,5871.951489784766
2026-03-22,5638,5210.914026861308
2026-03-23,43783,45971.93827517553
2026-03-24,42087,46087.460881667605
2026-03-25,40568,44004.83141390134
2026-03-26,39580,40226.701141680605
2026-03-27,33921,36430.58888234358
2026-03-28,4973,5955.606633617415
2026-03-29,5310,5575.250678651053
2026-03-30,43844,46160.95379075523
2026-03-31,39341,46208.42838287189
2026-04-01,27669,43111.608945774
2026-04-02,18907,37446.07409156056
2026-04-03,4345,5553.598552760235
2026-04-04,3871,7068.683994677118
2026-04-05,4581,5355.652680525283
2026-04-06,43393,41326.14584537261
2026-04-07,46559,42341.24208719532
2026-04-08,40508,41257.755330125015
2026-04-09,37632,37102.676121230645
2026-04-10,33542,33542.78150559563
2026-04-11,6146,5551.69988593752
2026-04-12,6297,5058.71172250326
2026-04-13,44365,45429.43000631497
2026-04-14,42064,45982.11288511746
2026-04-15,39404,43121.38645637674
