ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2023-07-01,6156,361,12402,33796,-0,0
2023-07-02,5849,18,11807,33795,-0,0
2023-07-03,43539,37594,50367,33794,0,0
2023-07-04,42109,35860,48021,33793,0,-0
2023-07-05,40604,34177,46981,33792,0,-0
2023-07-06,38949,32658,45250,33791,0,-0
2023-07-07,33217,26707,39423,33791,-0,-0
2023-07-08,5261,-935,11595,33790,-0,-0
2023-07-09,5006,-1240,11273,33789,-0,-0
2023-07-10,42754,36409,48388,33788,0,-0
2023-07-11,41399,34829,47066,33787,0,-0
2023-07-12,39978,34103,46084,33786,0,-0
2023-07-13,38415,32017,44920,33785,0,-0
2023-07-14,32782,26995,39108,33785,-0,-0
2023-07-15,4933,-1143,11187,33784,-0,-0
2023-07-16,4784,-1343,10801,33783,-0,-0
2023-07-17,42631,36847,49367,33782,0,-0
2023-07-18,41381,35348,47296,33781,0,-0
2023-07-19,40062,33935,46446,33780,0,-0
2023-07-20,38597,31953,44537,33780,0,-0
2023-07-21,33056,26815,39346,33779,-0,-0
2023-07-22,5296,-770,11452,33778,-0,-0
2023-07-23,5222,-921,11272,33777,-0,-0
2023-07-24,43128,37239,49582,33776,0,-0
2023-07-25,41934,35969,48153,33775,0,-0
2023-07-26,40660,34856,47303,33774,0,-0
2023-07-27,39229,32894,45164,33774,0,0
2023-07-28,33713,27250,40169,33773,-0,0
2023-07-29,5970,-579,11861,33772,-0,0
2023-07-30,5899,-323,12097,33771,-0,0
2023-07-31,43793,38015,50056,33770,0,0
2023-08-01,42585,36218,48565,33769,0,0
2023-08-02,41290,34980,47590,33769,0,0
2023-08-03,39833,33218,46001,33768,0,0
2023-08-04,34286,28006,40563,33767,-0,0
2023-08-05,6515,582,12115,33766,-0,0
2023-08-06,6408,57,12779,33765,-0,0
2023-08-07,44257,38079,50292,33764,0,0
2023-08-08,43014,36707,49286,33764,0,0
2023-08-09,41685,36314,48071,33763,0,0
2023-08-10,40196,34162,46298,33762,0,0
2023-08-11,34622,28296,40417,33761,-0,0
2023-08-12,6830,774,13003,33760,-0,0
2023-08-13,6702,846,12118,33759,-0,0
2023-08-14,44530,38148,50779,33758,0,0
2023-08-15,43274,37379,49855,33758,0,0
2023-08-16,41938,35796,47986,33757,0,0
2023-08-17,40446,34630,46230,33756,0,0
2023-08-18,34872,29141,40632,33755,-0,0
2023-08-19,7087,1263,12908,33754,-0,0
2023-08-20,6964,574,12767,33753,-0,0
2023-08-21,44789,38325,50931,33753,0,0
2023-08-22,43539,37575,49904,33752,0,0
2023-08-23,42208,35850,48200,33751,0,0
2023-08-24,40718,34689,46872,33750,0,0
2023-08-25,35145,28647,41348,33749,-0,0
2023-08-26,7362,1509,13606,33748,-0,0
2023-08-27,7232,1289,13250,33747,-0,0
2023-08-28,45039,38843,51028,33747,0,0
2023-08-29,43774,37695,49891,33746,0,0
2023-08-30,42422,36344,48484,33745,0,0
2023-08-31,40908,34281,46562,33744,0,0
2023-09-01,35306,29242,41572,33743,-0,0
2023-09-02,7494,1610,13796,33742,-0,0
2023-09-03,7327,975,13945,33742,-0,0
2023-09-04,45088,38713,50914,33741,0,0
2023-09-05,43780,37580,50278,33740,0,0
2023-09-06,42386,36172,48722,33739,0,0
2023-09-07,40828,34801,46526,33738,0,0
2023-09-08,35185,29066,41098,33737,-0,0
2023-09-09,7337,1168,13232,33736,-0,0
2023-09-10,7131,915,13614,33736,-0,0
2023-09-11,44851,38587,51057,33735,0,0
2023-09-12,43513,37276,49761,33734,0,0
2023-09-13,42093,35854,48439,33733,0,0
2023-09-14,40516,34311,46574,33732,0,0
2023-09-15,34860,28505,40972,33731,-0,0
2023-09-16,7010,951,13055,33731,-0,0
2023-09-17,6802,1285,13144,33730,-0,0
2023-09-18,44520,38377,50302,33729,0,0
2023-09-19,43193,36949,49547,33728,0,0
2023-09-20,41789,36188,48080,33727,0,0
2023-09-21,40232,34067,46508,33726,0,0
2023-09-22,34600,28218,40650,33725,-0,0
2023-09-23,6780,86,13013,33725,-0,0
2023-09-24,6600,352,12701,33724,-0,0
2023-09-25,44339,37729,50017,33723,0,0
2023-09-26,43040,36775,49573,33722,0,0
